Denmark
No.,Pos.,Player,Date of birth (age),Caps,Club
11,FW,Emmanuel Olisadebe,22 December 1978 (aged 23),16,Panathinaikos
12,GK,Radosław Majdan,10 May 1972 (aged 30),5,Göztepe
13,DF,Arkadiusz Głowacki,13 March 1979 (aged 23),2,Wisła Kraków
14,FW,Marcin Żewłakow,22 April 1976 (aged 26),17,Mouscron
15,DF,Tomasz Wałdoch (c),10 May 1971 (aged 31),71,Schalke 04
16,DF,Maciej Murawski,20 February 1974 (aged 28),4,Legia Warszawa
17,MF,Arkadiusz Bak,6 October 1974 (aged 27),12,Widzew Łódź
18,MF,Jacek Krzynówek,15 May 1976 (aged 26),23,1. FC Nürnberg
19,FW,Maciej Żurawski,12 September 1976 (aged 25),9,Wisła Kraków
20,DF,Jacek Bak,24 March 1973 (aged 29),36,Lens
21,MF,Marek Koźmiński,7 February 1971 (aged 31),42,Ancona
22,GK,Adam Matysek,19 July 1968 (aged 33),34,RKS Radomsko
23,MF,Paweł Sibik,15 February 1971 (aged 31),2,Odra Wodzisław
Portugal
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Vítor Baía,15 October 1969 (aged 32),75,Porto
2,DF,Jorge Costa,14 October 1971 (aged 30),46,Porto
3,DF,Abel Xavier,30 November 1972 (aged 29),18,Liverpool
4,DF,Marco Caneira,9 February 1979 (aged 23),1,Benfica
5,DF,Fernando Couto (c),2 August 1969 (aged 32),82,Lazio
6,MF,Paulo Sousa,30 August 1970 (aged 31),50,Espanyol
7,MF,Luís Figo,4 November 1972 (aged 29),81,Real Madrid
8,FW,João Vieira Pinto,19 August 1971 (aged 30),77,Sporting CP
9,FW,Pauleta,28 April 1973 (aged 29),33,Bordeaux
10,MF,Rui Costa,29 March 1972 (aged 30),67,Milan
11,MF,Sérgio Conceição,15 November 1974 (aged 27),41,Inter Milan
12,MF,Hugo Viana,15 January 1983 (aged 19),4,Sporting CP
13,DF,Jorge Andrade,9 April 1978 (aged 24),5,Porto
14,MF,Pedro Barbosa,6 August 1970 (aged 31),21,Sporting CP
15,GK,Nélson Pereira,20 October 1975 (aged 26),1,Sporting CP
16,GK,Ricardo,11 February 1976 (aged 26),10,Boavista
17,MF,Paulo Bento,20 June 1969 (aged 32),31,Sporting CP
18,DF,Nuno Frechaut,24 September 1977 (aged 24),9,Boavista
19,MF,Capucho,21 February 1972 (aged 30),29,Porto
20,MF,Petit,25 September 1976 (aged 25),9,Boavista
21,FW,Nuno Gomes,5 July 1976 (aged 25),28,Fiorentina
22,DF,Beto,3 May 1976 (aged 26),16,Sporting CP
23,DF,Rui Jorge,27 March 1973 (aged 29),20,Sporting CP
South Korea
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Lee Woon-jae,26 April 1973 (aged 29),31,Suwon Samsung Bluewings
2,DF,Hyun Young-min,25 December 1979 (aged 22),8,Ulsan Hyundai Horangi
3,MF,Choi Sung-yong,25 December 1975 (aged 26),60,Suwon Samsung Bluewings
4,DF,Choi Jin-cheul,26 March 1971 (aged 31),15,Jeonbuk Hyundai Motors
5,MF,Kim Nam-il,14 March 1977 (aged 25),23,Jeonnam Dragons
6,DF,Yoo Sang-chul,18 October 1971 (aged 30),93,Kashiwa Reysol
7,DF,Kim Tae-young,8 November 1970 (aged 31),78,Jeonnam Dragons
8,MF,Choi Tae-uk,13 March 1981 (aged 21),16,Anyang LG Cheetahs
9,FW,Seol Ki-hyeon,8 January 1979 (aged 23),31,Anderlecht
10,DF,Lee Young-pyo,23 April 1977 (aged 25),51,Anyang LG Cheetahs
11,FW,Choi Yong-soo,10 September 1973 (aged 28),58,JEF United Ichihara
12,GK,Kim Byung-ji,8 April 1970 (aged 32),58,Pohang Steelers
13,MF,Lee Eul-yong,8 September 1975 (aged 26),19,Bucheon SK
14,FW,Lee Chun-soo,9 July 1981 (aged 20),22,Ulsan Hyundai Horangi
