Colombia
No.,Pos.,Player,Date of birth (age),Caps,Club
3,DF,Andreas Brehme,9 November 1960 (aged 33),81,1. FC Kaiserslautern
4,DF,Jürgen Kohler,6 October 1965 (aged 28),65,Juventus
5,DF,Thomas Helmer,21 April 1965 (aged 29),25,Bayern Munich
6,DF,Guido Buchwald,24 January 1961 (aged 33),73,VfB Stuttgart
7,MF,Andreas Möller,2 September 1967 (aged 26),40,Juventus
8,MF,Thomas Häßler,30 May 1966 (aged 28),50,Roma
9,FW,Karl-Heinz Riedle,16 September 1965 (aged 28),39,Borussia Dortmund
10,MF,Lothar Matthäus (c),21 March 1961 (aged 33),112,Bayern Munich
11,FW,Stefan Kuntz,30 October 1962 (aged 31),4,1. FC Kaiserslautern
12,GK,Andreas Köpke,12 March 1962 (aged 32),14,1. FC Nürnberg
13,FW,Rudi Völler,13 April 1960 (aged 34),87,Marseille
14,DF,Thomas Berthold,12 November 1964 (aged 29),54,VfB Stuttgart
15,MF,Maurizio Gaudino,12 December 1966 (aged 27),5,Eintracht Frankfurt
16,DF,Matthias Sammer,5 September 1967 (aged 26),24,Borussia Dortmund
17,MF,Martin Wagner,24 February 1968 (aged 26),3,1. FC Kaiserslautern
18,FW,Jürgen Klinsmann,30 July 1964 (aged 29),60,Monaco
19,FW,Ulf Kirsten,4 December 1965 (aged 28),10,Bayer Leverkusen
20,MF,Stefan Effenberg,2 August 1968 (aged 25),30,Fiorentina
21,MF,Mario Basler,18 December 1968 (aged 25),5,Werder Bremen
22,GK,Oliver Kahn,15 June 1969 (aged 25),0,Karlsruher SC
South Korea
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Choi In-young (c),5 March 1962 (aged 32),N/A,Hyundai Horangi
2,MF,Chung Jong-son,20 March 1966 (aged 28),N/A,Hyundai Horangi
3,DF,Lee Jong-hwa,20 July 1963 (aged 30),N/A,Ilhwa Chunma
4,DF,Kim Pan-keun,5 March 1966 (aged 28),N/A,LG Cheetahs
5,DF,Park Jung-bae,19 February 1967 (aged 27),N/A,Daewoo Royals
6,MF,Lee Young-jin,27 October 1963 (aged 30),N/A,LG Cheetahs
7,DF,Shin Hong-gi,4 May 1968 (aged 26),N/A,Hyundai Horangi
8,MF,Noh Jung-yoon,28 March 1971 (aged 23),N/A,Sanfrecce Hiroshima
9,MF,Kim Joo-sung,17 January 1966 (aged 28),N/A,VfL Bochum
10,FW,Ko Jeong-woon,27 June 1966 (aged 27),N/A,Ilhwa Chunma
11,FW,Seo Jung-won,17 December 1970 (aged 23),N/A,Sangmu FC
12,DF,Choi Young-il,25 April 1966 (aged 28),N/A,Hyundai Horangi
13,DF,An Ik-soo,6 May 1965 (aged 29),N/A,Ilhwa Chunma
14,MF,Choi Dae-shik,10 January 1965 (aged 29),N/A,LG Cheetahs
15,MF,Cho Jin-ho,2 August 1973 (aged 20),N/A,POSCO Atoms
16,MF,Ha Seok-ju,20 February 1968 (aged 26),33,Daewoo Royals
17,DF,Gu Sang-bum,15 June 1964 (aged 30),63,Daewoo Royals
18,FW,Hwang Sun-hong,14 July 1968 (aged 25),46,POSCO Atoms
19,MF,Choi Moon-sik,6 January 1971 (aged 23),N/A,POSCO Atoms
20,DF,Hong Myung-bo,12 February 1969 (aged 25),47,POSCO Atoms
21,GK,Park Chul-woo,29 September 1965 (aged 28),N/A,LG Cheetahs
22,GK,Lee Woon-jae,26 April 1973 (aged 21),1,Kyung Hee University
Spain
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Andoni Zubizarreta (c),23 October 1961 (aged 32),87,Barcelona
2,DF,Albert Ferrer,6 June 1970 (aged 24),16,Barcelona
3,DF,Jorge Otero,8 March 1969 (aged 25),5,Celta Vigo
4,DF,Paco Camarasa,27 September 1967 (aged 26),9,Valencia
5,DF,Abelardo,19 March 1970 (aged 24),9,Sporting Gijón
6,MF,Fernando Hierro,23 March 1968 (aged 26),23,Real Madrid
7,FW,Andoni Goikoetxea,21 October 1965 (aged 28),22,Barcelona
8,MF,Julen Guerrero,7 January 1974 (aged 20),9,Athletic Bilbao
9,MF,Josep Guardiola,18 January 1971 (aged 23),11,Barcelona
10,MF,José Mari Bakero,11 February 1963 (aged 31),25,Barcelona
11,FW,Txiki Begiristain,12 August 1964 (aged 29),21,Barcelona
12,DF,Sergi,28 December 1971 (aged 22),2,Barcelona
13,GK,Santiago Cañizares,18 December 1969 (aged 24),4,Celta Vigo
14,FW,Juanele,10 April 1971 (aged 23),5,Sporting Gijón
15,MF,José Luis Caminero,8 November 1967 (aged 26),4,Atlético Madrid
16,MF,Felipe Miñambres,29 April 1965 (aged 29),4,Tenerife
17,DF,Voro,9 October 1963 (aged 30),4,Deportivo La Coruña
18,DF,Rafael Alkorta,16 September 1968 (aged 25),19,Real Madrid
19,FW,Julio Salinas,11 September 1962 (aged 31),43,Barcelona
20,DF,Miguel Ángel Nadal,28 July 1966 (aged 27),12,Barcelona
21,MF,Luis Enrique,8 May 1970 (aged 24),5,Real Madrid
22,GK,Julen Lopetegui,28 August 1966 (aged 27),1,Logroñés
Argentina
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Sergio Goycochea,17 October 1963 (aged 30),N/A,River Plate
2,DF,Sergio Vázquez,23 November 1965 (aged 28),N/A,Universidad Católica
3,DF,José Chamot,17 May 1969 (aged 25),N/A,Foggia
4,DF,Roberto Sensini,12 October 1966 (aged 27),22,Parma
5,MF,Fernando Redondo,6 June 1969 (aged 25),N/A,Tenerife
6,DF,Oscar Ruggeri,26 January 1962 (aged 32),93,San Lorenzo
7,FW,Claudio Caniggia,9 January 1967 (aged 27),N/A,Roma
8,MF,José Basualdo,20 June 1963 (aged 30),N/A,Vélez Sársfield
9,FW,Gabriel Batistuta,1 February 1969 (aged 25),33,Fiorentina
10,MF,Diego Maradona (c),30 October 1960 (aged 33),89,Newell's Old Boys
11,FW,Ramón Medina Bello,29 April 1966 (aged 28),N/A,Yokohama Marinos
12,GK,Luis Islas,22 December 1965 (aged 28),N/A,Independiente
13,DF,Fernando Cáceres,7 February 1969 (aged 25),N/A,Real Zaragoza
14,MF,Diego Simeone,28 April 1970 (aged 24),37,Sevilla
15,DF,Jorge Borelli,2 November 1964 (aged 29),N/A,Racing
16,DF,Hernán Díaz,26 February 1965 (aged 29),N/A,River Plate
17,MF,Ariel Ortega,4 March 1974 (aged 20),5,River Plate
18,MF,Hugo Pérez,6 October 1968 (aged 25),N/A,Independiente
19,FW,Abel Balbo,1 June 1966 (aged 28),N/A,Roma
20,MF,Leonardo Rodríguez,27 August 1966 (aged 27),N/A,Borussia Dortmund
21,MF,Alejandro Mancuso,4 September 1968 (aged 25),N/A,Boca Juniors
22,GK,Norberto Scoponi,13 January 1961 (aged 33),N/A,Newell's Old Boys
Bulgaria
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Borislav Mikhailov (c),12 February 1963 (aged 31),66,Mulhouse
2,DF,Emil Kremenliev,13 August 1969 (aged 24),7,Levski Sofia
3,DF,Trifon Ivanov,27 July 1965 (aged 28),39,Neuchâtel Xamax
4,DF,Tsanko Tsvetanov,6 January 1970 (aged 24),16,Levski Sofia
5,DF,Petar Hubchev,26 February 1964 (aged 30),15,Hamburger SV
6,MF,Zlatko Yankov,7 August 1966 (aged 27),31,Levski Sofia
7,FW,Emil Kostadinov,12 August 1967 (aged 26),32,Porto
8,FW,Hristo Stoichkov,8 February 1966 (aged 28),41,Barcelona
9,MF,Yordan Letchkov,9 July 1967 (aged 26),14,Hamburger SV
10,FW,Nasko Sirakov,26 April 1962 (aged 32),55,Levski Sofia
11,MF,Daniel Borimirov,16 January 1970 (aged 24),9,Levski Sofia
12,GK,Plamen Nikolov,20 August 1961 (aged 32),5,Levski Sofia
13,MF,Ivaylo Yordanov,22 April 1968 (aged 26),10,Sporting CP
14,MF,Boncho Genchev,7 July 1964 (aged 29),4,Ipswich Town
15,DF,Nikolay Iliev,31 March 1964 (aged 30),48,Rennes
16,DF,Iliyan Kiryakov,4 August 1967 (aged 26),35,Merida
17,FW,Petar Mihtarski,15 July 1966 (aged 27),5,Pirin Blagoevgrad
18,FW,Petar Aleksandrov,7 December 1962 (aged 31),26,Levski Sofia
19,MF,Georgi Georgiev,10 January 1963 (aged 31),10,Mulhouse
20,MF,Krasimir Balakov,29 March 1966 (aged 28),33,Sporting CP
21,FW,Velko Yotov,26 August 1970 (aged 23),6,Espanyol
22,FW,Fake Guy,26 August 1970 (aged 23),6,Espanyol
Greece
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Antonis Minou,4 May 1958 (aged 36),15,Apollon Smyrnis
2,DF,Stratos Apostolakis,11 May 1964 (aged 30),60,Panathinaikos
3,DF,Thanasis Kolitsidakis,20 November 1966 (aged 27),12,Panathinaikos
4,DF,Stelios Manolas,13 July 1961 (aged 32),70,AEK Athens
5,DF,Ioannis Kalitzakis,10 February 1966 (aged 28),36,Panathinaikos
6,MF,Giotis Tsalouchidis,30 March 1963 (aged 31),60,Olympiacos
7,MF,Dimitris Saravakos,26 July 1961 (aged 32),76,Panathinaikos
8,MF,Nikos Nioplias,17 January 1965 (aged 29),36,Panathinaikos
9,FW,Nikos Machlas,16 June 1973 (aged 21),12,OFI Crete
10,MF,Tasos Mitropoulos (c),23 August 1957 (aged 36),74,AEK Athens
11,MF,Nikos Tsiantakis,20 October 1963 (aged 30),45,Olympiacos
12,MF,Spiros Marangos,20 February 1967 (aged 27),21,Panathinaikos
13,DF,Vaios Karagiannis,25 June 1968 (aged 25),6,AEK Athens
14,FW,Vasilis Dimitriadis,1 February 1966 (aged 28),26,AEK Athens
15,GK,Christos Karkamanis,22 September 1969 (aged 24),5,Aris
16,FW,Alexis Alexoudis,20 June 1972 (aged 21),3,OFI Crete
17,MF,Minas Hantzidis,4 July 1966 (aged 27),7,Olympiacos
18,DF,Kiriakos Karataidis,4 July 1965 (aged 28),14,Olympiacos
19,MF,Savvas Kofidis,21 March 1961 (aged 33),64,Aris
20,GK,Elias Atmatsidis,24 April 1969 (aged 25),4,AEK Athens
21,FW,Alekos Alexandris,21 October 1968 (aged 25),10,Olympiacos
22,DF,Alexis Alexiou,8 September 1963 (aged 30),8,PAOK
Nigeria
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Peter Rufai,24 August 1963 (aged 30),55,Go Ahead Eagles
2,DF,Augustine Eguavoen,19 August 1965 (aged 28),35,Kortrijk
3,DF,Benedict Iroha,29 November 1969 (aged 24),N/A,Vitesse
4,DF,Stephen Keshi (c),23 January 1962 (aged 32),59,Molenbeek
5,DF,Uche Okechukwu,27 September 1967 (aged 26),26,Fenerbahçe
6,DF,Chidi Nwanu,1 January 1967 (aged 27),N/A,Anderlecht
7,MF,Finidi George,15 April 1971 (aged 23),23,Ajax
8,MF,Thompson Oliha,4 October 1968 (aged 25),N/A,Africa Sports
9,FW,Rashidi Yekini,23 October 1963 (aged 30),46,Vitória de Setúbal
10,MF,Jay-Jay Okocha,14 August 1973 (aged 20),10,Eintracht Frankfurt
11,MF,Emmanuel Amunike,25 December 1970 (aged 23),N/A,Zamalek
12,FW,Samson Siasia,14 August 1967 (aged 26),32,Nantes
13,DF,Emeka Ezeugo,16 December 1965 (aged 28),N/A,Budapest Honvéd
14,FW,Daniel Amokachi,30 December 1972 (aged 21),26,Club Brugge
15,MF,Sunday Oliseh,14 September 1974 (aged 19),8,FC Liège
16,GK,Alloysius Agu,12 July 1967 (aged 26),N/A,FC Liège
17,FW,Victor Ikpeba,12 June 1973 (aged 21),N/A,Monaco
18,FW,Efan Ekoku,8 June 1967 (aged 27),N/A,Norwich City
19,DF,Michael Emenalo,14 July 1965 (aged 28),N/A,Eintracht Trier
20,DF,Uche Okafor,8 August 1967 (aged 26),N/A,Hannover 96
21,MF,Mutiu Adepoju,22 December 1970 (aged 23),18,Racing Santander
22,GK,Wilfred Agbonavbare,5 October 1966 (aged 27),N/A,Rayo Vallecano
Italy
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Gianluca Pagliuca,18 December 1966 (aged 27),18,Sampdoria
2,DF,Luigi Apolloni,2 May 1967 (aged 27),1,Parma
3,DF,Antonio Benarrivo,21 August 1968 (aged 25),8,Parma
