England
No.,Pos.,Player,Date of birth (age),Caps,Club
2,DF,Horst-Dieter Höttges,10 September 1943 (aged 22),13,Werder Bremen
3,DF,Karl-Heinz Schnellinger,31 March 1939 (aged 27),31,Milan
4,MF,Franz Beckenbauer,11 September 1945 (aged 20),8,Bayern Munich
5,DF,Willi Schulz,4 October 1938 (aged 27),31,Hamburger SV
6,DF,Wolfgang Weber,26 June 1944 (aged 22),12,1. FC Köln
7,MF,Albert Brülls,26 March 1937 (aged 29),23,Brescia
8,FW,Helmut Haller,21 July 1939 (aged 26),22,Bologna
9,FW,Uwe Seeler (captain),5 November 1936 (aged 29),48,Hamburger SV
10,FW,Sigfried Held,7 August 1942 (aged 23),4,Borussia Dortmund
11,FW,Lothar Emmerich,29 November 1941 (aged 24),1,Borussia Dortmund
12,MF,Wolfgang Overath,29 September 1943 (aged 22),16,1. FC Köln
13,FW,Heinz Hornig,28 September 1937 (aged 28),7,1. FC Köln
14,DF,Friedel Lutz,21 January 1939 (aged 27),11,Eintracht Frankfurt
15,DF,Bernd Patzke,14 March 1943 (aged 23),2,1860 Munich
16,MF,Max Lorenz,19 August 1939 (aged 26),7,Werder Bremen
17,DF,Wolfgang Paul,25 January 1940 (aged 26),0,Borussia Dortmund
18,DF,Klaus-Dieter Sieloff,27 February 1942 (aged 24),8,VfB Stuttgart
19,FW,Werner Krämer,23 January 1940 (aged 26),11,Meidericher SV
20,FW,Jürgen Grabowski,7 July 1944 (aged 22),3,Eintracht Frankfurt
21,GK,Günter Bernard,4 November 1939 (aged 26),4,Werder Bremen
22,GK,Sepp Maier,28 February 1944 (aged 22),1,Bayern Munich
Brazil
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Gilmar,22 August 1930 (aged 35),,Santos
2,DF,Djalma Santos,27 February 1929 (aged 37),,Palmeiras
3,DF,Fidélis,13 March 1944 (aged 22),,Bangu
4,DF,Bellini (captain),7 June 1930 (aged 36),,São Paulo
5,DF,Brito,9 August 1939 (aged 26),,Vasco da Gama
6,DF,Altair,21 January 1938 (aged 28),,Fluminense
7,DF,Orlando,20 September 1935 (aged 30),,Santos
8,DF,Paulo Henrique,5 January 1943 (aged 23),,Flamengo
9,DF,Rildo,23 January 1942 (aged 24),,Botafogo
10,FW,Pelé,23 October 1940 (aged 25),,Santos
11,MF,Gérson,11 January 1941 (aged 25),,Botafogo
12,GK,Manga,26 April 1937 (aged 29),,Botafogo
13,MF,Denílson,28 March 1943 (aged 23),,Fluminense
14,MF,Lima,18 January 1942 (aged 24),,Santos
15,MF,Zito,18 August 1932 (aged 33),,Santos
16,FW,Garrincha,28 October 1933 (aged 32),,Corinthians
17,MF,Jairzinho,25 December 1944 (aged 21),,Botafogo
18,FW,Alcindo,16 December 1945 (aged 20),,Grêmio
19,FW,Silva,2 January 1940 (aged 26),,Flamengo
20,MF,Tostão,25 January 1947 (aged 19),,Cruzeiro
21,FW,Paraná,21 March 1942 (aged 24),,São Paulo
22,FW,Edu,6 August 1949 (aged 16),,Santos
Bulgaria
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Georgi Naydenov,21 December 1931 (aged 34),44,CSKA Sofia
2,DF,Aleksandar Shalamanov,4 September 1941 (aged 24),12,Slavia Sofia
3,DF,Ivan Vutsov,14 December 1939 (aged 26),18,Levski Sofia
4,DF,Boris Gaganelov (captain),7 October 1941 (aged 24),20,CSKA Sofia
5,DF,Dimitar Penev,12 July 1945 (aged 20),16,CSKA Sofia
6,DF,Dobromir Zhechev,12 November 1942 (aged 23),13,Spartak Sofia
7,MF,Dinko Dermendzhiev,2 June 1941 (aged 25),6,Botev Plovdiv
8,MF,Stoyan Kitov,27 August 1938 (aged 27),18,Spartak Sofia
9,FW,Georgi Asparuhov,4 May 1943 (aged 23),26,Levski Sofia
10,FW,Petar Zhekov,10 October 1944 (aged 21),4,Beroe Stara Zagora
11,FW,Ivan Kolev,1 November 1930 (aged 35),67,CSKA Sofia
12,MF,Vasil Metodiev,6 January 1935 (aged 31),17,Lokomotiv Sofia
13,FW,Dimitar Yakimov,12 August 1941 (aged 24),34,CSKA Sofia
14,FW,Nikola Kotkov,9 December 1938 (aged 27),16,Lokomotiv Sofia
15,DF,Dimitar Largov,10 September 1936 (aged 29),17,Slavia Sofia
16,FW,Aleksandar Kostov,5 March 1938 (aged 28),7,Levski Sofia
17,FW,Stefan Abadzhiev,3 July 1934 (aged 32),25,Levski Sofia
18,MF,Evgeni Yanchovski,5 September 1939 (aged 26),8,Beroe Stara Zagora
19,DF,Vidin Apostolov,17 October 1941 (aged 24),12,Botev Plovdiv
20,MF,Ivan Davidov,5 October 1943 (aged 22),0,Slavia Sofia
21,GK,Simeon Simeonov,26 April 1946 (aged 20),4,Slavia Sofia
22,GK,Ivan Deyanov,16 December 1937 (aged 28),8,Lokomotiv Sofia
Hungary
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Antal Szentmihályi,3 June 1937 (aged 29),20,Újpesti Dózsa
2,DF,Benő Káposzta,7 June 1942 (aged 24),3,Újpesti Dózsa
3,DF,Sándor Mátrai,20 November 1932 (aged 33),71,Ferencvárosi
4,DF,Kálmán Sóvári,21 December 1940 (aged 25),16,Újpesti Dózsa
5,DF,Kálmán Mészöly,16 July 1941 (aged 24),37,Vasas
6,MF,Ferenc Sipos (captain),13 December 1932 (aged 33),71,Budapest Honvéd
7,FW,Ferenc Bene,17 December 1944 (aged 21),17,Újpesti Dózsa
8,MF,Zoltán Varga,1 January 1945 (aged 21),3,Ferencvárosi
9,MF,Flórián Albert,15 September 1941 (aged 24),51,Ferencvárosi
10,FW,János Farkas,27 March 1942 (aged 24),13,Vasas
11,FW,Gyula Rákosi,9 October 1938 (aged 27),27,Ferencvárosi
12,FW,Máté Fenyvesi,20 September 1933 (aged 32),76,Ferencvárosi
13,MF,Imre Mathesz,25 March 1937 (aged 29),5,Vasas
14,MF,István Nagy,14 April 1939 (aged 27),19,MTK Hungária
15,FW,Dezső Molnár,2 December 1939 (aged 26),1,Vasas
16,FW,Lajos Tichy,21 March 1935 (aged 31),71,Budapest Honvéd
17,DF,Gusztáv Szepesi,17 July 1939 (aged 26),2,Tatabányai Bányász
18,DF,Kálmán Ihász,6 December 1941 (aged 24),9,Vasas
19,FW,Lajos Puskás,3 August 1944 (aged 21),2,Vasas
20,FW,Antal Nagy,16 May 1944 (aged 22),3,Budapest Honvéd
21,GK,József Gelei,29 June 1938 (aged 28),7,Tatabányai Bányász
22,GK,István Géczi,13 June 1944 (aged 22),2,Ferencváros
Portugal
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Américo,6 March 1933 (aged 33),,Porto
2,GK,Joaquim Carvalho,18 April 1937 (aged 29),,Sporting CP
3,GK,José Pereira,15 September 1931 (aged 34),,Belenenses
4,DF,Vicente,24 September 1935 (aged 30),,Belenenses
5,DF,Germano,18 January 1933 (aged 33),,Benfica
6,MF,Fernando Peres,8 January 1942 (aged 24),,Sporting CP
7,FW,Ernesto Figueiredo,6 July 1937 (aged 29),,Sporting CP
8,FW,João Lourenço,8 April 1942 (aged 24),,Sporting CP
9,MF,Hilário,19 March 1939 (aged 27),,Sporting CP
10,MF,Mário Coluna (captain),6 August 1935 (aged 30),,Benfica
11,MF,António Simões,14 December 1943 (aged 22),,Benfica
12,MF,José Augusto,13 April 1937 (aged 29),,Benfica
13,FW,Eusébio,25 January 1942 (aged 24),,Benfica
14,MF,Fernando Cruz,12 August 1940 (aged 25),,Benfica
15,FW,Manuel Duarte,20 May 1943 (aged 23),,Leixões
16,MF,Jaime Graça,10 January 1942 (aged 24),,Vitória de Setúbal
17,DF,João Morais,6 March 1935 (aged 31),,Sporting CP
18,FW,José Torres,8 September 1938 (aged 27),,Benfica
19,MF,Custódio Pinto,9 February 1942 (aged 24),,Porto
20,DF,Alexandre Baptista,17 February 1941 (aged 25),,Sporting CP
21,DF,José Carlos,22 September 1941 (aged 24),,Sporting CP
22,DF,Alberto Festa,21 July 1939 (aged 26),,Porto
Chile
No.,Pos.,Player,Date of birth (age),Caps,Club
1,FW,Pedro Araya,23 January 1942 (aged 24),20,Universidad de Chile
2,DF,Hugo Berly,31 December 1941 (aged 24),0,Audax Italiano
3,MF,Carlos Campos,14 February 1937 (aged 29),10,Universidad de Chile
4,MF,Humberto Cruz,8 December 1939 (aged 26),16,Colo-Colo
5,DF,Humberto Donoso,9 October 1938 (aged 27),14,Universidad de Chile
6,DF,Luis Eyzaguirre,22 June 1939 (aged 27),38,Universidad de Chile
7,DF,Elías Figueroa,25 October 1946 (aged 19),7,Santiago Wanderers
8,FW,Alberto Fouilloux,22 November 1940 (aged 25),36,Universidad Católica'
9,GK,Adán Godoy,26 November 1936 (aged 29),14,Universidad Católica
10,MF,Roberto Hodge,30 July 1944 (aged 21),9,Universidad de Chile
11,FW,Honorino Landa,1 June 1942 (aged 24),23,Green Cross Temuco
12,MF,Rubén Marcos,6 December 1942 (aged 23),17,Universidad de Chile
13,GK,Juan Olivares,20 February 1941 (aged 25),4,Santiago Wanderers
14,MF,Ignacio Prieto,23 September 1943 (aged 22),15,Universidad Católica
15,MF,Jaime Ramírez,14 August 1931 (aged 34),46,Universidad de Chile
16,FW,Orlando Ramírez,7 May 1943 (aged 23),11,Universidad de Chile
17,MF,Leonel Sánchez (captain),25 April 1936 (aged 30),77,Universidad de Chile
18,MF,Armando Tobar,7 June 1938 (aged 28),29,Universidad Católica
19,FW,Francisco Valdés,19 March 1943 (aged 23),11,Colo-Colo
