Russia
No.,Pos.,Player,Date of birth (age),Caps,Club
20,MF,Mario Velarde,29 March 1940 (aged 22),,Necaxa
21,FW,Alberto Baeza,6 December 1938 (aged 23),,Necaxa
22,GK,Antonio Mota,26 January 1939 (aged 23),,CD Oro
Spain
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,José Araquistáin,4 March 1937 (aged 25),5,Real Madrid
2,GK,Salvador Sadurní,3 April 1941 (aged 21),0,CF Barcelona
3,GK,Carmelo,6 December 1930 (aged 31),10,Atlético de Bilbao
4,FW,Enrique Collar,2 November 1934 (aged 27),10,Atlético Madrid
5,MF,Luis del Sol,6 April 1935 (aged 27),10,Real Madrid
6,FW,Alfredo Di Stéfano,4 July 1926 (aged 35),31,Real Madrid
7,DF,Luis María Echeberría,24 March 1940 (aged 22),0,Atlético de Bilbao
8,MF,Jesús Garay,10 September 1930 (aged 31),28,CF Barcelona
9,FW,Francisco Gento,21 October 1933 (aged 28),26,Real Madrid
10,DF,Sígfrid Gràcia,27 March 1932 (aged 30),8,CF Barcelona
11,DF,Feliciano Rivilla,21 August 1936 (aged 25),9,Atlético Madrid
12,FW,Joaquín Peiró,29 January 1936 (aged 26),7,Atlético Madrid
13,DF,Pachín,28 December 1938 (aged 23),4,Real Madrid
14,FW,Ferenc Puskás,2 April 1927 (aged 35),1,Real Madrid
15,FW,Eulogio Martínez,11 June 1935 (aged 26),7,CF Barcelona
16,DF,Severino Reija,25 November 1938 (aged 23),0,Real Zaragoza
17,DF,Rodri,8 March 1934 (aged 28),0,CF Barcelona
18,FW,Adelardo,26 September 1939 (aged 22),0,Atlético Madrid
19,DF,José Santamaría,31 July 1929 (aged 32),14,Real Madrid
20,DF,Joan Segarra (captain),15 November 1927 (aged 34),24,CF Barcelona
21,FW,Luis Suárez,2 May 1935 (aged 27),22,Internazionale Milano F.C.
22,MF,Martí Vergés,8 March 1934 (aged 28),10,CF Barcelona
Hungary
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Gyula Grosics (captain),4 February 1926 (aged 36),81,Tatabányai Bányász
2,DF,Sándor Mátrai,20 November 1932 (aged 29),41,Ferencvárosi TC
3,DF,Kálmán Mészöly,16 July 1941 (aged 20),4,Vasas SC
4,DF,László Sárosi,27 February 1932 (aged 30),25,Vasas SC
5,DF,Ernő Solymosi,21 September 1940 (aged 21),16,Újpesti Dózsa SC
6,MF,Ferenc Sipos,13 December 1932 (aged 29),44,MTK
7,FW,Károly Sándor,29 November 1928 (aged 33),58,MTK
8,FW,János Göröcs,8 May 1939 (aged 23),32,Újpesti Dozsa SC
9,FW,Flórián Albert,15 September 1941 (aged 20),23,Ferencvárosi TC
10,MF,Lajos Tichy,21 March 1935 (aged 27),53,Budapest Honvéd FC
11,FW,Máté Fenyvesi,20 September 1933 (aged 28),42,Ferencvárosi TC
12,DF,Kálmán Sóvári,21 December 1940 (aged 21),7,Újpesti Dózsa SC
13,DF,Kálmán Ihász,6 December 1941 (aged 20),0,Vasas SC
14,MF,István Nagy,14 April 1939 (aged 23),1,MTK
15,MF,János Mencel,14 December 1941 (aged 20),0,Salgótarjáni BTC
16,FW,János Farkas,27 March 1942 (aged 20),4,Vasas SC
17,FW,Gyula Rákosi,9 October 1938 (aged 23),3,Ferencvárosi TC
18,FW,Tivadar Monostori,24 August 1936 (aged 25),5,Dorogi AC
19,FW,Béla Kuharszki,20 April 1940 (aged 22),5,Újpesti Dózsa SC
20,FW,László Bödör,17 August 1933 (aged 28),1,MTK
21,GK,Antal Szentmihályi,3 June 1937 (aged 24),1,Vasas SC
22,GK,István Ilku,6 March 1933 (aged 29),6,Dorogi AC
England
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Ron Springett,22 July 1935 (aged 26),21,Sheffield Wednesday F.C.
2,DF,Jimmy Armfield,2 September 1935 (aged 26),25,Blackpool F.C.
3,DF,Ray Wilson,17 December 1934 (aged 27),11,Huddersfield Town F.C.
4,MF,Bobby Robson,18 February 1933 (aged 29),20,West Bromwich Albion F.C.
5,DF,Peter Swan,8 October 1936 (aged 25),19,Sheffield Wednesday F.C.
6,MF,Ron Flowers,28 July 1934 (aged 27),32,Wolverhampton Wanderers F.C.
7,MF,John Connelly,18 July 1938 (aged 23),8,Burnley F.C.
8,FW,Jimmy Greaves,20 February 1940 (aged 22),18,Tottenham Hotspur F.C.
9,FW,Gerry Hitchens,8 October 1934 (aged 27),5,Internazionale Milano F.C.
10,FW,Johnny Haynes (captain),17 October 1934 (aged 27),52,Fulham F.C.
11,FW,Bobby Charlton,11 October 1937 (aged 24),35,Manchester United F.C.
12,GK,Alan Hodgkinson,16 August 1936 (aged 25),5,Sheffield United F.C.
13,FW,Derek Kevan*,6 March 1935 (aged 27),14,West Bromwich Albion F.C.
14,MF,Stan Anderson,27 February 1933 (aged 29),2,Sunderland F.C.
15,DF,Maurice Norman,8 May 1934 (aged 28),1,Tottenham Hotspur F.C.
16,DF,Bobby Moore,12 April 1941 (aged 21),1,West Ham United F.C.
17,MF,Bryan Douglas,27 May 1934 (aged 28),29,Blackburn Rovers F.C.
18,FW,Roger Hunt,20 July 1938 (aged 23),1,Liverpool F.C.
19,FW,Alan Peacock,29 October 1937 (aged 24),0,Middlesbrough F.C.
20,MF,George Eastham,23 September 1936 (aged 25),0,Arsenal F.C.
21,DF,Don Howe,12 October 1935 (aged 26),23,West Bromwich Albion F.C.
22,MF,Jimmy Adamson*,4 April 1929 (aged 33),0,Burnley F.C.
Argentina
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Antonio Roma,13 July 1932 (aged 29),,Boca Juniors
2,DF,José Ramos Delgado,26 August 1935 (aged 26),,River Plate
3,DF,Silvio Marzolini,4 October 1940 (aged 21),,Boca Juniors
4,DF,Alberto Sainz,13 December 1937 (aged 24),,River Plate
5,MF,Federico Sacchi,9 August 1936 (aged 25),,Racing
6,DF,Raúl Páez,26 May 1937 (aged 25),,San Lorenzo
7,FW,Héctor Facundo,2 November 1937 (aged 24),,San Lorenzo
8,FW,Martín Pando,26 December 1934 (aged 27),,River Plate
9,FW,Marcelo Pagani,19 August 1941 (aged 20),,River Plate
10,FW,José Sanfilippo,4 May 1935 (aged 27),,San Lorenzo
11,FW,Raúl Belén,1 July 1931 (aged 30),,Racing
12,GK,Rogelio Domínguez,9 March 1932 (aged 30),,River Plate
13,MF,Oscar Rossi,27 July 1930 (aged 31),,San Lorenzo
14,DF,Alberto Mariotti,23 August 1935 (aged 26),,San Lorenzo
15,DF,Rubén Navarro (captain),11 March 1933 (aged 29),,Independiente
16,MF,Antonio Rattín,16 May 1937 (aged 25),,Boca Juniors
17,DF,Rafael Albrecht,28 August 1941 (aged 20),,Estudiantes (LP)
18,DF,Vladislao Cap,5 July 1934 (aged 27),,River Plate
19,FW,Rubén Sosa,14 November 1936 (aged 25),,Racing
20,FW,Juan Carlos Oleniak,4 March 1942 (aged 20),,Argentinos Juniors
21,MF,Ramón Abeledo,29 April 1937 (aged 25),,Independiente
22,FW,Alberto González,21 August 1941 (aged 20),,Boca Juniors
Bulgaria
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Georgi Naydenov,21 December 1931 (aged 30),34,CDNA Sofia
2,DF,Kiril Rakarov (captain),24 May 1932 (aged 30),50,CDNA Sofia
3,DF,Ivan Dimitrov,14 May 1935 (aged 27),28,Lokomotiv Sofia
4,MF,Stoyan Kitov,27 August 1938 (aged 23),5,Spartak Sofia
5,DF,Dimitar Kostov,26 July 1936 (aged 25),2,Levski Sofia
6,MF,Nikola Kovachev,4 June 1934 (aged 27),34,CDNA Sofia
7,MF,Todor Diev,28 January 1934 (aged 28),37,Spartak Plovdiv
8,DF,Dimitar Dimov,13 December 1937 (aged 24),5,Spartak Plovdiv
9,FW,Hristo Iliev,11 May 1936 (aged 26),16,Levski Sofia
10,FW,Ivan Kolev,1 November 1930 (aged 31),54,CDNA Sofia
11,FW,Dimitar Yakimov,12 July 1941 (aged 20),18,CDNA Sofia
12,DF,Dobromir Zhechev,12 November 1942 (aged 19),3,Spartak Sofia
13,FW,Petar Velichkov,8 August 1940 (aged 21),4,Lokomotiv Sofia
14,FW,Georgi Sokolov,19 June 1942 (aged 19),6,Levski Sofia
15,FW,Georgi Asparuhov,4 May 1943 (aged 19),1,Botev Plovdiv
16,MF,Aleksandar Kostov,5 March 1938 (aged 24),1,Levski Sofia
17,MF,Panteley Dimitrov,2 November 1940 (aged 21),0,CDNA Sofia
18,GK,Ivan Ivanov,1 January 1942 (aged 20),0,Cherno More Varna
19,FW,Dinko Dermendzhiev,2 June 1941 (aged 20),1,Botev Plovdiv
20,GK,Nikola Parshanov,16 February 1934 (aged 28),2,Spartak Pleven
21,FW,Panayot Panayotov,30 December 1930 (aged 31),39,CDNA
22,FW,Georgi Nikolov,1 May 1931 (aged 31),,Cherno More Varna
