Austria
No.,Pos.,Player,Date of birth (age),Caps,Club
11,FW,Frank Mill,23 July 1958 (aged 31),17,Borussia Dortmund
12,GK,Raimond Aumann,12 October 1963 (aged 26),3,Bayern Munich
13,FW,Karl-Heinz Riedle,16 September 1965 (aged 24),6,Werder Bremen
14,DF,Thomas Berthold,12 November 1964 (aged 25),35,Roma
15,MF,Uwe Bein,26 September 1960 (aged 29),6,Eintracht Frankfurt
16,DF,Paul Steiner,23 January 1957 (aged 33),1,1. FC Köln
17,MF,Andreas Möller,2 September 1967 (aged 22),10,Borussia Dortmund
18,FW,Jürgen Klinsmann,30 July 1964 (aged 25),18,Internazionale
19,DF,Hans Pflügler,27 March 1960 (aged 30),10,Bayern Munich
20,MF,Olaf Thon,1 May 1966 (aged 24),33,Bayern Munich
21,MF,Günter Hermann,5 December 1960 (aged 29),2,Werder Bremen
22,GK,Andreas Köpke,12 March 1962 (aged 28),1,1. FC Nürnberg
Yugoslavia
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Tomislav Ivković,11 August 1960 (aged 29),26,Sporting CP
2,DF,Vujadin Stanojković,10 September 1963 (aged 26),16,Partizan
3,DF,Predrag Spasić,13 May 1965 (aged 25),18,Partizan
4,DF,Zoran Vulić,4 October 1961 (aged 28),15,Mallorca
5,DF,Faruk Hadžibegić,7 October 1957 (aged 32),45,Sochaux
6,DF,Davor Jozić,22 September 1960 (aged 29),17,Cesena
7,MF,Dragoljub Brnović,2 November 1963 (aged 26),20,Metz
8,MF,Safet Sušić,13 April 1955 (aged 35),47,Paris Saint-Germain
9,FW,Darko Pančev,7 September 1965 (aged 24),14,Red Star Belgrade
10,MF,Dragan Stojković,3 March 1965 (aged 25),33,Red Star Belgrade
11,FW,Zlatko Vujović (c),26 August 1958 (aged 31),63,Paris Saint-Germain
12,GK,Fahrudin Omerović,26 August 1961 (aged 28),0,Partizan
13,MF,Srečko Katanec,16 July 1963 (aged 26),26,Sampdoria
14,FW,Alen Bokšić,21 January 1970 (aged 20),0,Hajduk Split
15,MF,Robert Prosinečki,12 January 1969 (aged 21),7,Red Star Belgrade
16,MF,Refik Šabanadžović,2 August 1965 (aged 24),4,Red Star Belgrade
17,MF,Robert Jarni,26 October 1968 (aged 21),1,Hajduk Split
18,DF,Mirsad Baljić,4 March 1962 (aged 28),28,Sion
19,MF,Dejan Savićević,15 September 1966 (aged 23),13,Red Star Belgrade
20,FW,Davor Šuker,1 January 1968 (aged 22),0,Dinamo Zagreb
21,DF,Andrej Panadić,9 March 1969 (aged 21),3,Dinamo Zagreb
22,GK,Dragoje Leković,21 November 1967 (aged 22),3,Budućnost Titograd
Belgium
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Michel Preud'homme,24 January 1959 (aged 31),23,Mechelen
2,DF,Eric Gerets,18 May 1954 (aged 36),80,PSV
3,DF,Philippe Albert,10 August 1967 (aged 22),7,Mechelen
4,DF,Lei Clijsters,6 November 1956 (aged 33),36,Mechelen
