Mexico
No.,Pos.,Player,Date of birth (age),Caps,Club
5,DF,Willi Schulz,4 October 1938 (aged 31),61,Hamburger SV
6,MF,Wolfgang Weber,26 June 1944 (aged 25),37,FC Köln
7,DF,Berti Vogts,30 December 1946 (aged 23),24,Borussia Mönchengladbach
8,FW,Helmut Haller,21 July 1939 (aged 30),32,Juventus
9,FW,Uwe Seeler (c),5 November 1936 (aged 33),65,Hamburger SV
10,FW,Sigfried Held,7 August 1942 (aged 27),27,Borussia Dortmund
11,DF,Klaus Fichtel,19 November 1944 (aged 25),13,Schalke 04
12,MF,Wolfgang Overath,29 September 1943 (aged 26),49,FC Köln
13,FW,Gerd Müller,3 November 1945 (aged 24),19,Bayern Munich
14,FW,Reinhard Libuda,10 October 1943 (aged 26),15,Schalke 04
15,DF,Bernd Patzke,14 March 1943 (aged 27),19,Hertha BSC
16,MF,Max Lorenz,19 August 1939 (aged 30),19,Eintracht Braunschweig
17,FW,Hannes Löhr,5 July 1942 (aged 27),13,FC Köln
18,DF,Klaus-Dieter Sieloff,27 February 1942 (aged 28),9,Borussia Mönchengladbach
19,MF,Peter Dietrich,6 March 1944 (aged 26),1,Borussia Mönchengladbach
20,FW,Jürgen Grabowski,7 July 1944 (aged 25),7,Eintracht Frankfurt
21,GK,Manfred Manglitz,8 March 1940 (aged 30),4,FC Köln
22,GK,Horst Wolter,8 June 1942 (aged 27),12,Eintracht Braunschweig
Peru
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Luis Rubiños,31 December 1940 (aged 29),,Sporting Cristal
2,DF,Eloy Campos,31 May 1942 (aged 28),,Sporting Cristal
3,DF,Orlando de la Torre,21 November 1943 (aged 26),,Sporting Cristal
4,DF,Héctor Chumpitaz (c),12 April 1944 (aged 26),,Universitario
5,DF,Nicolás Fuentes,20 December 1941 (aged 28),,Universitario
6,MF,Ramón Mifflin,5 April 1947 (aged 23),,Sporting Cristal
7,MF,Roberto Challe,24 November 1946 (aged 23),,Universitario
8,MF,Julio Baylón,10 December 1947 (aged 22),,Alianza Lima
9,FW,Pedro Pablo León,26 March 1943 (aged 27),,Alianza Lima
10,FW,Teófilo Cubillas,8 March 1949 (aged 21),,Alianza Lima
11,MF,Alberto Gallardo,28 November 1940 (aged 29),,Sporting Cristal
12,GK,Rubén Correa,25 July 1941 (aged 28),,Universitario
13,MF,Pedro González,19 May 1943 (aged 27),,Universitario
14,DF,José Fernández,14 February 1939 (aged 31),,Sporting Cristal
15,MF,Javier González,11 May 1939 (aged 31),,Alianza Lima
16,DF,Félix Salinas,11 May 1939 (aged 31),,Universitario
17,MF,Luis Cruzado,6 July 1941 (aged 28),,Universitario
18,FW,José del Castillo,1 January 1943 (aged 27),,Sporting Cristal
19,FW,Eladio Reyes,8 January 1948 (aged 22),,Juan Aurich
20,FW,Hugo Sotil,18 May 1948 (aged 22),,Deportivo Municipal
21,GK,Jesus Goyzueta,1 January 1947 (aged 23),,Universitario
22,FW,Oswaldo Ramírez,29 March 1947 (aged 23),,Sport Boys
Bulgaria
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Simeon Simeonov,26 April 1946 (aged 24),29,Slavia Sofia
2,DF,Aleksandar Shalamanov,4 September 1941 (aged 28),32,Slavia Sofia
3,DF,Ivan Dimitrov (c),14 May 1935 (aged 35),68,Akademik Sofia
4,DF,Stefan Aladzhov,18 October 1947 (aged 22),9,Levski-Spartak Sofia
