Costa Rica
No.,Pos.,Player,Date of birth (age),Caps,Club
12,DF,Abdoulaye Méïté,6 October 1980 (aged 25),18,Marseille
13,DF,Marco Zoro,27 December 1983 (aged 22),13,Messina
14,FW,Bakari Koné,17 September 1981 (aged 24),16,Nice
15,FW,Aruna Dindane,26 November 1980 (aged 25),34,Lens
16,GK,Gérard Gnanhouan,12 February 1979 (aged 27),6,Montpellier
17,DF,Cyril Domoraud ,22 July 1971 (aged 34),50,Créteil
18,MF,Abdul Kader Keïta,6 August 1981 (aged 24),26,Lille
19,MF,Yaya Touré,13 March 1983 (aged 23),14,Olympiacos
20,DF,Guy Demel,13 June 1981 (aged 24),7,Hamburger SV
21,DF,Emmanuel Eboué,4 June 1983 (aged 23),11,Arsenal
22,MF,Romaric,4 June 1983 (aged 23),8,Le Mans
23,GK,Boubacar Barry,30 December 1979 (aged 26),6,Beveren
Netherlands
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Edwin van der Sar ,29 October 1970 (aged 35),109,Manchester United
2,DF,Kew Jaliens,15 September 1978 (aged 27),1,AZ
3,DF,Khalid Boulahrouz,28 December 1981 (aged 24),11,Hamburger SV
4,DF,Joris Mathijsen,5 April 1980 (aged 26),8,AZ
5,DF,Giovanni van Bronckhorst,5 February 1975 (aged 31),57,Barcelona
6,MF,Denny Landzaat,6 May 1976 (aged 30),23,AZ
7,FW,Dirk Kuyt,22 July 1980 (aged 25),19,Feyenoord
8,MF,Phillip Cocu,29 October 1970 (aged 35),97,PSV Eindhoven
9,FW,Ruud van Nistelrooy,1 July 1976 (aged 29),51,Manchester United
10,MF,Rafael van der Vaart,11 February 1983 (aged 23),35,Hamburger SV
11,MF,Arjen Robben,23 January 1984 (aged 22),20,Chelsea
12,DF,Jan Kromkamp,17 August 1980 (aged 25),11,Liverpool
13,DF,André Ooijer,11 July 1974 (aged 31),19,PSV Eindhoven
14,DF,John Heitinga,15 November 1983 (aged 22),18,Ajax
15,DF,Tim de Cler,8 November 1978 (aged 27),3,AZ
16,MF,Hedwiges Maduro,13 February 1985 (aged 21),11,Ajax
17,FW,Robin van Persie,6 August 1983 (aged 22),10,Arsenal
18,MF,Mark van Bommel,22 April 1977 (aged 29),37,Barcelona
19,FW,Jan Vennegoor of Hesselink,7 November 1978 (aged 27),7,PSV Eindhoven
20,MF,Wesley Sneijder,9 June 1984 (aged 22),23,Ajax
21,FW,Ryan Babel,19 December 1986 (aged 19),6,Ajax
22,GK,Henk Timmer,3 December 1971 (aged 34),2,AZ
23,GK,Maarten Stekelenburg,22 September 1982 (aged 23),2,Ajax
Serbia
No.,Pos.,Player,Date of birth (age),Caps,Club
1,GK,Dragoslav Jevrić,8 July 1974 (aged 31),40,Ankaraspor
2,MF,Ivan Ergić,21 January 1981 (aged 25),1,Basel
3,DF,Ivica Dragutinović,13 November 1975 (aged 30),26,Sevilla
4,MF,Igor Duljaj,29 October 1979 (aged 26),37,Shakhtar Donetsk
5,DF,Nemanja Vidić,21 October 1981 (aged 24),20,Manchester United
6,DF,Goran Gavrančić,2 August 1978 (aged 27),25,Dynamo Kyiv
7,MF,Ognjen Koroman,19 September 1978 (aged 27),25,Portsmouth
8,FW,Mateja Kežman,12 April 1979 (aged 27),47,Atlético Madrid
9,FW,Savo Milošević ,2 September 1973 (aged 32),98,Osasuna
