edition,round,score1,score2,team1,team2,url,venue,year,,,,,,,,,
1938,FRANCE,_FINAL,4,2,(3,1),Italy,Hungary,1938_FRANCE_FS.htm#53,WC,38,V,Paris.,1938,,,
1950,BRAZIL,PRELIMINARY,3,1,(2,1),Sweden ,Ireland,1950_BRAZIL_PR.htm,Stockholm.,1949,,,,,,
1950,BRAZIL,PRELIMINARY,5,2,(3,1),Switzerland ,Luxembourg ,1950_BRAZIL_PR.htm,Zí_rich.,1949,,,,,,
1950,BRAZIL,PRELIMINARY,6,0,(4,0),Yugoslavia ,Israel,1950_BRAZIL_PR.htm,Beograd.,1949,,,,,,
1950,BRAZIL,PRELIMINARY,0,6,(0,3),United States,Mexico ,1950_BRAZIL_PR.htm,Mí©xico D.F.,1949,,,,,,
1950,BRAZIL,PRELIMINARY,3,0,(2,0),Ireland,Finland,1950_BRAZIL_PR.htm,Dublin.,1949,,,,,,
1950,BRAZIL,PRELIMINARY,2,0,(1,0),Mexico ,Cuba,1950_BRAZIL_PR.htm,Mí©xico D.F.,1949,,,,,,
1950,BRAZIL,PRELIMINARY,1,1,(1,1),Cuba,United States,1950_BRAZIL_PR.htm,Mí©xico D.F.,1949,,,,,,
1950,BRAZIL,PRELIMINARY,2,5,(0,3),Israel,Yugoslavia ,1950_BRAZIL_PR.htm,Tel Aviv.,1949,,,,,,
1950,BRAZIL,PRELIMINARY,2,3,(2,1),Luxembourg ,Switzerland ,1950_BRAZIL_PR.htm,Luxembourg.,1949,,,,,,
1950,BRAZIL,PRELIMINARY,6,2,(3,0),Mexico ,United States,1950_BRAZIL_PR.htm,Mí©xico D.F.,1949,,,,,,
1950,BRAZIL,PRELIMINARY,5,2,(4,1),United States,Cuba,1950_BRAZIL_PR.htm,Mí©xico D.F.,1949,,,,,,
1950,BRAZIL,PRELIMINARY,0,3,(0,1),Cuba,Mexico ,1950_BRAZIL_PR.htm,Mí©xico D.F.,1949,,,,,,
1950,BRAZIL,PRELIMINARY,2,8,(0,5),Northern Ireland,Scotland,1950_BRAZIL_PR.htm,Belfast.,1949,,,,,,
1950,BRAZIL,PRELIMINARY,8,1,(5,1),Sweden ,Finland,1950_BRAZIL_PR.htm,Malmí_.,1949,,,,,,
1950,BRAZIL,PRELIMINARY,1,1,(1,0),Yugoslavia ,France,1950_BRAZIL_PR.htm,Beograd.,1949,,,,,,
1950,BRAZIL,PRELIMINARY,1,1,(0,0),Finland,Ireland,1950_BRAZIL_PR.htm,Helsinki.,1949,,,,,,
1950,BRAZIL,PRELIMINARY,1,4,(0,3),Wales,England,1950_BRAZIL_PR.htm,Cardiff.,1949,,,,,,
1950,BRAZIL,PRELIMINARY,1,1,(1,1),France,Yugoslavia ,1950_BRAZIL_PR.htm,Paris.,1949,,,,,,
1950,BRAZIL,PRELIMINARY,2,0,(1,0),Scotland,Wales,1950_BRAZIL_PR.htm,Glasgow.,1949,,,,,,
1950,BRAZIL,PRELIMINARY,1,3,(0,2),Ireland,Sweden ,1950_BRAZIL_PR.htm,Dublin.,1949,,,,,,
1950,BRAZIL,PRELIMINARY,9,2,(4,0),England,Northern Ireland,1950_BRAZIL_PR.htm,Manchester.,1949,,,,,,
1950,BRAZIL,PRELIMINARY,7,0,(3,0),Turkey,Syria,1950_BRAZIL_PR.htm,Ankara.,1949,,,,,,
1950,BRAZIL,PRELIMINARY,3,2,(1,1),Yugoslavia ,France,1950_BRAZIL_PR.htm,Firenze.,1949,,,,,,
